id;darab_id;datum;helyszin;jegyar
1;101;2025.10.01;Nagyszínpad;5500
2;102;2025.10.02;Nagyszínpad;8200
3;103;2025.10.03;Kamara;4500
4;101;2025.10.05;Nagyszínpad;5500
5;105;2025.10.06;Pódium;3000
6;102;2025.10.10;Nagyszínpad;8200
7;106;2025.10.12;Nagyszínpad;7500
8;104;2025.10.15;Stúdió;3500
9;103;2025.10.20;Kamara;4500
10;110;2025.10.22;Kamara;5000
11;111;2025.10.25;Pódium;3800
12;107;2025.10.28;Nagyszínpad;6000
13;108;2025.10.30;Nagyszínpad;8500
14;109;2025.11.02;Kamara;4000
15;112;2025.11.05;Nagyszínpad;6500
16;101;2025.11.08;Nagyszínpad;5500
17;102;2025.11.10;Nagyszínpad;8200
18;103;2025.11.12;Kamara;4500
19;104;2025.11.15;Stúdió;3500
20;105;2025.11.18;Pódium;3000
21;106;2025.11.20;Nagyszínpad;7500
22;107;2025.11.22;Nagyszínpad;6000
23;108;2025.11.25;Nagyszínpad;8500
24;109;2025.11.28;Kamara;4000
25;110;2025.12.01;Kamara;5000
26;111;2025.12.03;Pódium;3800
27;112;2025.12.05;Nagyszínpad;6500
28;101;2025.12.10;Nagyszínpad;5500
29;102;2025.12.12;Nagyszínpad;8200
30;103;2025.12.15;Kamara;4500
31;104;2025.12.18;Stúdió;3500
32;105;2025.12.20;Pódium;3000
33;106;2025.12.22;Nagyszínpad;7500
34;107;2025.12.23;Nagyszínpad;6000
35;108;2025.12.27;Nagyszínpad;8500
36;109;2025.12.28;Kamara;4000
37;110;2025.12.29;Kamara;5000
38;111;2025.12.30;Pódium;3800
39;112;2026.01.05;Nagyszínpad;6500
40;101;2026.01.07;Nagyszínpad;5500
41;102;2026.01.10;Nagyszínpad;8200
42;103;2026.01.12;Kamara;4500
43;104;2026.01.15;Stúdió;3500
44;105;2026.01.18;Pódium;3000
45;106;2026.01.20;Nagyszínpad;7500
46;107;2026.01.22;Nagyszínpad;6000
47;108;2026.01.25;Nagyszínpad;8500
48;109;2026.01.28;Kamara;4000
49;110;2026.02.01;Kamara;5000
50;111;2026.02.03;Pódium;3800
51;112;2026.02.05;Nagyszínpad;6500
52;101;2026.02.08;Nagyszínpad;5500
53;102;2026.02.10;Nagyszínpad;8200
54;103;2026.02.12;Kamara;4500
55;104;2026.02.15;Stúdió;3500
56;105;2026.02.18;Pódium;3000
57;106;2026.02.20;Nagyszínpad;7500
58;107;2026.02.22;Nagyszínpad;6000
59;108;2026.02.25;Nagyszínpad;8500
60;109;2026.02.28;Kamara;4000
61;110;2026.03.01;Kamara;5000
62;111;2026.03.03;Pódium;3800
63;112;2026.03.05;Nagyszínpad;6500
64;101;2026.03.08;Nagyszínpad;5500
65;102;2026.03.10;Nagyszínpad;8200
66;103;2026.03.12;Kamara;4500
67;104;2026.03.15;Stúdió;3500
68;105;2026.03.18;Pódium;3000
69;106;2026.03.20;Nagyszínpad;7500
70;107;2026.03.22;Nagyszínpad;6000
71;108;2026.03.25;Nagyszínpad;8500
72;109;2026.03.28;Kamara;4000
73;110;2026.04.01;Kamara;5000
74;111;2026.04.03;Pódium;3800
75;112;2026.04.05;Nagyszínpad;6500
76;101;2026.04.08;Nagyszínpad;5500
77;102;2026.04.10;Nagyszínpad;8200
78;103;2026.04.12;Kamara;4500
79;104;2026.04.15;Stúdió;3500
80;105;2026.04.18;Pódium;3000
81;106;2026.04.20;Nagyszínpad;7500
82;107;2026.04.22;Nagyszínpad;6000
83;108;2026.04.25;Nagyszínpad;8500
84;109;2026.04.28;Kamara;4000
85;110;2026.05.01;Kamara;5000
86;111;2026.05.03;Pódium;3800
87;112;2026.05.05;Nagyszínpad;6500
88;101;2026.05.08;Nagyszínpad;5500
89;102;2026.05.10;Nagyszínpad;8200
90;103;2026.05.12;Kamara;4500
91;104;2026.05.15;Stúdió;3500
92;105;2026.05.18;Pódium;3000
93;106;2026.05.20;Nagyszínpad;7500
94;107;2026.05.22;Nagyszínpad;6000
95;108;2026.05.25;Nagyszínpad;8500
96;109;2026.05.28;Kamara;4000
97;110;2026.05.30;Kamara;5000
98;111;2025.10.15;Pódium;3800
99;112;2025.11.15;Nagyszínpad;6500
100;101;2025.12.15;Nagyszínpad;5500
